{ Bread Butter } ,-> , {Cookies } , 33.3333
{ Bread Cookies } ,-> , {Butter } , 75
{ Bread } ,-> , {Butter Cookies } , 30
{ Butter Cookies } ,-> , {Bread } , 100
{ Butter } ,-> , {Bread Cookies } , 30
{ Cookies } ,-> , {Bread Butter } , 60
{ Bread Butter } ,-> , {Egg } , 22.2222
{ Bread Egg } ,-> , {Butter } , 100
{ Bread } ,-> , {Butter Egg } , 20
{ Butter Egg } ,-> , {Bread } , 66.6667
{ Butter } ,-> , {Bread Egg } , 20
{ Egg } ,-> , {Bread Butter } , 66.6667
{ Bread Butter } ,-> , {Milk } , 66.6667
{ Bread Milk } ,-> , {Butter } , 85.7143
{ Bread } ,-> , {Butter Milk } , 60
{ Butter Milk } ,-> , {Bread } , 85.7143
{ Butter } ,-> , {Bread Milk } , 60
{ Milk } ,-> , {Bread Butter } , 66.6667
{ Bread Cookies } ,-> , {Milk } , 50
{ Bread Milk } ,-> , {Cookies } , 28.5714
{ Bread } ,-> , {Cookies Milk } , 20
{ Cookies Milk } ,-> , {Bread } , 66.6667
{ Cookies } ,-> , {Bread Milk } , 40
{ Milk } ,-> , {Bread Cookies } , 22.2222
{ Butter Egg } ,-> , {Milk } , 66.6667
{ Butter Milk } ,-> , {Egg } , 28.5714
{ Butter } ,-> , {Egg Milk } , 20
{ Egg Milk } ,-> , {Butter } , 100
{ Egg } ,-> , {Butter Milk } , 66.6667
{ Milk } ,-> , {Butter Egg } , 22.2222
